usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
20,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,72,99,2,1,95,4,1,4,0,1,1,23,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,72,Hackney,strict,Entire home/apt,Apartment,4.276666119016055,4,0.6931471805599453,0.4804530139182014,0,1,1.6094379124341003,1,3.1354942159291497,9.831323978125154,30.826059468336975,529,12167,4.553876891600541,1
50,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,120,100,4,1,98,73,1,3.99,10,1,2,548,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,120,Hackney,moderate,Entire home/apt,Apartment,4.787491742782046,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,4.30406509320417,2,6.306275286948016,39.76910799477128,250.79494293139288,300304,164566592,4.584967478670572,1
10,Apartment,Private room,Private,strict,Real Bed,Hackney,50,100,2,1,93,10,1,1.09,10,2,1,274,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,50,Hackney,strict,Private room,Apartment,3.912023005428146,4,0.6931471805599453,0.4804530139182014,0,1,2.3978952727983707,1,5.6131281063880705,31.507207138723725,176.85398994416101,75076,20570824,4.532599493153256,2
NA,House,Private room,Private,flexible,Real Bed,Hackney,60,NA,2,1.5,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,60,Hackney,flexible,Private room,House,4.0943445622221,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
30,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,120,100,2,1,98,11,1,2.09,50,3,1,156,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,120,Hackney,moderate,Entire home/apt,Apartment,4.787491742782046,4,0.6931471805599453,0.4804530139182014,0,1,2.4849066497880004,1,5.049856007249537,25.501045693954236,128.77660878875975,24336,3796416,4.584967478670572,3
NA,Apartment,Private room,Private,strict,Real Bed,Hackney,55,100,2,1,89,7,1,1.3,10,10,1,161,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,55,Hackney,strict,Private room,Apartment,4.007333185232471,4,0.6931471805599453,0.4804530139182014,0,1,2.0794415416798357,1,5.081404364984463,25.820670320483156,131.20526687332787,25921,4173281,4.48863636973214,3
NA,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,60,100,2,1,95,4,1,0.54,0,6,1,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,60,Hackney,flexible,Entire home/apt,Apartment,4.0943445622221,4,0.6931471805599453,0.4804530139182014,0,1,1.6094379124341003,1,5.407171771460119,29.237506566075158,158.0922201719615,49729,11089567,4.553876891600541,3
15,Apartment,Private room,Private,strict,Real Bed,Hackney,35,100,1,1,100,2,1,0.44,0,5,1,134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35,Hackney,strict,Private room,Apartment,3.5553480614894135,1,0,0,0,1,1.0986122886681098,1,4.897839799950911,23.98883470598318,117.49346937740813,17956,2406104,4.605170185988092,3
NA,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,200,NA,4,1,NA,0,1,NA,0,2,3,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,200,Hackney,flexible,Entire home/apt,House,5.298317366548036,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,1,0,0,NA,NA,NA,NA,NA,NA,2
NA,House,Private room,Private,flexible,Real Bed,Hackney,29,NA,2,0,NA,0,1,NA,0,5,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,Hackney,flexible,Private room,House,3.367295829986474,4,0.6931471805599453,0.4804530139182014,0,0,0,0,NA,NA,NA,NA,NA,NA,3
55,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,110,100,4,2,94,88,2,4.98,0,3,2,529,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,110,Hackney,moderate,Entire home/apt,Apartment,4.700480365792417,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,2,4.48863636973214,2,6.270988431858299,39.325295912500614,246.6084757466958,279841,148035889,4.543294782270004,3
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,110,100,2,1,98,27,4,0.56,0,3,1,1456,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,110,Hackney,moderate,Entire home/apt,Apartment,4.700480365792417,4,0.6931471805599453,0.4804530139182014,0,1,3.332204510175204,1,7.283448228756631,53.04861810097811,386.376863545556,2119936,3086626816,4.584967478670572,3
20,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,77,99,2,1,100,2,1,2,0,1,1,23,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,77,Hackney,strict,Entire home/apt,Apartment,4.343805421853684,4,0.6931471805599453,0.4804530139182014,0,1,1.0986122886681098,1,3.1354942159291497,9.831323978125154,30.826059468336975,529,12167,4.605170185988092,1
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,27,100,1,1,NA,0,1,NA,0,7,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,27,Hackney,moderate,Private room,Apartment,3.295836866004329,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,26,100,2,1,88,27,1,0.61,9,3,1,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26,Hackney,moderate,Private room,Apartment,3.258096538021482,4,0.6931471805599453,0.4804530139182014,0,1,3.332204510175204,1,7.190676034332207,51.70582183071956,371.7998138736062,1760929,2336752783,4.477336814478207,3
60,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,180,100,4,1,95,49,1,3.81,0,1,2,385,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,180,Hackney,strict,Entire home/apt,Apartment,5.19295685089021,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,3.912023005428146,1,5.953243334287785,35.441106197241936,210.98952922851606,148225,57066625,4.553876891600541,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,35,NA,2,2.5,NA,0,1,NA,0,4,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,Hackney,flexible,Private room,House,3.5553480614894135,4,0.6931471805599453,0.4804530139182014,0,2,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,30,100,2,1,80,1,1,1,10,3,1,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,Hackney,flexible,Private room,Apartment,3.4011973816621555,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,2.70805020110221,7.333535891689721,19.859583346280623,225,3375,4.382026634673881,3
NA,House,Private room,Private,flexible,Real Bed,Hackney,45,NA,2,1,NA,0,1,NA,0,1,1,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,45,Hackney,flexible,Private room,House,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
5,House,Private room,Private,flexible,Real Bed,Hackney,33,75,1,1,100,1,1,0.47,0,1,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,Hackney,flexible,Private room,House,3.4965075614664802,1,0,0,0,1,0.6931471805599453,1,4.143134726391533,17.16556536103144,71.11924994543297,3969,250047,4.605170185988092,1
30,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,75,100,2,1,95,27,1,0.34,0,1,1,2377,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,75,Hackney,strict,Entire home/apt,Apartment,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,1,3.332204510175204,1,7.773594467360194,60.428770942973024,469.7487594716715,5650129,13430356633,4.553876891600541,1
25,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,80,100,2,1,91,18,2,1.09,25,2,1,495,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,80,Hackney,moderate,Entire home/apt,Apartment,4.382026634673881,4,0.6931471805599453,0.4804530139182014,0,1,2.9444389791664403,1,6.20455776256869,38.49653702905139,238.85398765561385,245025,121287375,4.51085950651685,2
20,House,Private room,Private,strict,Real Bed,Hackney,29,NA,1,1.5,NA,0,1,NA,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,29,Hackney,strict,Private room,House,3.367295829986474,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,100,NA,1,NA,NA,0,1,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Hackney,flexible,Private room,Apartment,4.605170185988092,1,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,20,NA,1,1,NA,0,1,NA,0,15,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,20,Hackney,flexible,Private room,House,2.995732273553991,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,85,60,2,1,83,9,2,0.49,10,3,1,553,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,85,Hackney,moderate,Entire home/apt,Apartment,4.442651256490317,4,0.6931471805599453,0.4804530139182014,0,1,2.302585092994046,1,6.315358001522335,39.88374668739218,251.88013877291212,305809,169112377,4.418840607796598,3
56,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,120,100,4,1,84,11,2,3.67,15,2,2,89,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,120,Hackney,moderate,Entire home/apt,House,4.787491742782046,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.4849066497880004,1,4.48863636973214,20.14785645968212,90.4364012770718,7921,704969,4.430816798843313,2
8,Apartment,Private room,Private,moderate,Real Bed,Hackney,39,100,2,1,97,32,1,2.96,0,2,1,323,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,39,Hackney,moderate,Private room,Apartment,3.6635616461296463,4,0.6931471805599453,0.4804530139182014,0,1,3.4965075614664802,1,5.777652323222656,33.38126636804016,192.86535118342155,104329,33698267,4.574710978503383,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,58,NA,2,1,97,3,1,0.09,0,1,1,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Hackney,flexible,Private room,Apartment,4.060443010546419,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,6.906754778648554,47.70326157238463,329.4747298221895,998001,997002999,4.574710978503383,1
50,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,88,100,3,1,100,4,2,0.78,10,2,1,152,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,88,Hackney,moderate,Entire home/apt,Apartment,4.477336814478207,9,1.0986122886681098,1.206948960812582,0,1,1.6094379124341003,1,5.0238805208462765,25.239375487738656,126.79960687117521,23104,3511808,4.605170185988092,2
10,House,Private room,Private,flexible,Real Bed,Hackney,60,NA,2,1.5,NA,0,1,NA,0,2,1,NA,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,60,Hackney,flexible,Private room,House,4.0943445622221,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
40,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,125,100,2,1,100,1,1,0.47,0,4,1,63,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,125,Hackney,flexible,Entire home/apt,Apartment,4.8283137373023015,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.143134726391533,17.16556536103144,71.11924994543297,3969,250047,4.605170185988092,3
20,House,Private room,Private,moderate,Real Bed,Hackney,25,NA,2,3,100,2,1,0.07,0,2,1,874,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,25,Hackney,moderate,Private room,House,3.2188758248682006,4,0.6931471805599453,0.4804530139182014,0,2,1.0986122886681098,1,6.773080375655535,45.87461777509013,310.71247339316153,763876,667627624,4.605170185988092,2
NA,House,Private room,Private,moderate,Real Bed,Hackney,40,NA,2,1,NA,0,1,NA,30,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,40,Hackney,moderate,Private room,House,3.6888794541139363,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
7,Apartment,Private room,Private,moderate,Real Bed,Hackney,30,NA,2,1,96,18,1,1.11,5,1,2,487,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,30,Hackney,moderate,Private room,Apartment,3.4011973816621555,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,2.9444389791664403,1,6.18826412308259,38.29461285703113,236.97717885050304,237169,115501303,4.564348191467836,1
5,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,65,71,2,1,89,12,1,0.7,0,1,1,515,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65,Hackney,flexible,Entire home/apt,Apartment,4.174387269895637,4,0.6931471805599453,0.4804530139182014,0,1,2.5649493574615367,1,6.244166900663736,38.98962028334457,243.45769644270763,265225,136590875,4.48863636973214,1
35,House,Private room,Private,strict,Real Bed,Hackney,65,100,2,2,96,31,1,0.61,35,1,1,1519,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,65,Hackney,strict,Private room,House,4.174387269895637,4,0.6931471805599453,0.4804530139182014,0,2,3.4657359027997265,1,7.325807502595773,53.66745556508852,393.15744862395076,2307361,3504881359,4.564348191467836,1
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,39,100,2,1,87,29,1,0.74,15,2,2,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,39,Hackney,moderate,Private room,Apartment,3.6635616461296463,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,3.4011973816621555,1,7.065613363597717,49.922892203850644,352.7358543049754,1371241,1605723211,4.465908118654584,2
25,Apartment,Entire home/apt,Entire/Apt,moderate,Couch,Hackney,79,100,2,1,95,122,1,3.45,0,3,1,1058,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,79,Hackney,moderate,Entire home/apt,Apartment,4.3694478524670215,4,0.6931471805599453,0.4804530139182014,0,1,4.812184355372417,2,6.964135612418245,48.49918482815204,337.75490023498827,1119364,1184287112,4.553876891600541,3
45,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,75,100,4,1,90,4,2,1.36,10,3,1,87,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,75,Hackney,moderate,Entire home/apt,Apartment,4.31748811353631,16,1.3862943611198906,1.9218120556728056,0,1,1.6094379124341003,1,4.465908118654584,19.944335324264923,89.06956904580412,7569,658503,4.499809670330265,3
NA,House,Private room,Private,flexible,Real Bed,Hackney,58,NA,2,1,NA,0,1,NA,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,58,Hackney,flexible,Private room,House,4.060443010546419,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,60,NA,1,1,NA,0,1,NA,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60,Hackney,flexible,Private room,Apartment,4.0943445622221,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,1
NA,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,70,NA,3,1,100,1,2,0.04,10,5,1,793,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,70,Hackney,moderate,Entire home/apt,Apartment,4.248495242049359,9,1.0986122886681098,1.206948960812582,0,1,0.6931471805599453,1,6.675823221634848,44.56661568651908,297.5188479097399,628849,498677257,4.605170185988092,3
20,Apartment,Private room,Private,strict,Real Bed,Hackney,22,NA,1,1,100,1,1,0.14,0,7,1,211,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,Hackney,strict,Private room,Apartment,3.091042453358316,1,0,0,0,1,0.6931471805599453,1,5.351858133476067,28.642385480853928,153.2899836978649,44521,9393931,4.605170185988092,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,28,NA,1,1,NA,0,1,NA,0,27,1,NA,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,28,Hackney,flexible,Private room,Apartment,3.332204510175204,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,House,Private room,Private,flexible,Real Bed,Hackney,35,100,1,1.5,100,1,1,0.21,0,1,1,142,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,35,Hackney,flexible,Private room,House,3.5553480614894135,1,0,0,0,1,0.6931471805599453,1,4.955827057601261,24.56022182485277,121.71621186029438,20164,2863288,4.605170185988092,1
35,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,120,100,4,1,100,9,1,1.17,0,3,2,230,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,120,Hackney,moderate,Entire home/apt,Apartment,4.787491742782046,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.302585092994046,1,5.438079308923196,29.572706570138582,160.81872370792766,52900,12167000,4.605170185988092,3
15,House,Private room,Private,moderate,Real Bed,Hackney,39,100,2,1,87,3,1,2.73,0,2,1,32,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,39,Hackney,moderate,Private room,House,3.6635616461296463,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,3.4657359027997265,12.011325347955035,41.62808149861618,1024,32768,4.465908118654584,2
10,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,150,100,3,1,85,97,2,2.38,50,1,1,1223,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150,Hackney,moderate,Entire home/apt,Apartment,5.0106352940962555,9,1.0986122886681098,1.206948960812582,0,1,4.584967478670572,2,7.109062135687172,50.53876444906106,359.28321672923295,1495729,1829276567,4.442651256490317,1
7,House,Private room,Private,moderate,Real Bed,Hackney,45,NA,2,1,100,3,1,0.15,0,2,1,614,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,45,Hackney,moderate,Private room,House,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,6.419994928147142,41.21633487743503,264.6086608699471,376996,231475544,4.605170185988092,2
45,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,130,100,6,1,91,199,1,4.07,10,1,4,1467,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,130,Hackney,strict,Entire home/apt,Apartment,4.867534450455582,36,1.791759469228055,3.210401995568401,1.3862943611198906,1,5.298317366548036,2,7.2909747781429814,53.1583132155171,387.57592090295987,2152089,3157114563,4.51085950651685,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,58,100,2,1,67,3,1,0.32,0,1,1,276,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,58,Hackney,flexible,Private room,Apartment,4.060443010546419,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,5.62040086571715,31.588905891354084,177.54231401882407,76176,21024576,4.204692619390966,1
